"Subject" "activityName" "measurement" "value"
"1" 1 "WALKING" "tBodyAcc-mean()-X" 0.277330758736842
"2" 10 "WALKING" "tBodyAcc-mean()-X" 0.278574076603774
"3" 8 "WALKING" "tBodyAcc-mean()-X" 0.27468631
"4" 17 "WALKING" "tBodyAcc-mean()-X" 0.272341855245902
"5" 15 "WALKING" "tBodyAcc-mean()-X" 0.273899207962963
"6" 4 "WALKING" "tBodyAcc-mean()-X" 0.278582015166667
"7" 2 "WALKING" "tBodyAcc-mean()-X" 0.276426586440678
"8" 11 "WALKING" "tBodyAcc-mean()-X" 0.271821892881356
"9" 9 "WALKING" "tBodyAcc-mean()-X" 0.278502842115385
"10" 18 "WALKING" "tBodyAcc-mean()-X" 0.273887758571429
"11" 16 "WALKING" "tBodyAcc-mean()-X" 0.276023564509804
"12" 5 "WALKING" "tBodyAcc-mean()-X" 0.27784234625
"13" 3 "WALKING" "tBodyAcc-mean()-X" 0.275567462068966
"14" 12 "WALKING" "tBodyAcc-mean()-X" 0.2771286656
"15" 21 "WALKING" "tBodyAcc-mean()-X" 0.279183526730769
"16" 19 "WALKING" "tBodyAcc-mean()-X" 0.273931172307692
"17" 28 "WALKING" "tBodyAcc-mean()-X" 0.281228223888889
"18" 6 "WALKING" "tBodyAcc-mean()-X" 0.283658868070175
"19" 26 "WALKING" "tBodyAcc-mean()-X" 0.279264443728814
"20" 13 "WALKING" "tBodyAcc-mean()-X" 0.275883130350877
"21" 22 "WALKING" "tBodyAcc-mean()-X" 0.27886459
"22" 20 "WALKING" "tBodyAcc-mean()-X" 0.272589336470588
"23" 29 "WALKING" "tBodyAcc-mean()-X" 0.271999916792453
"24" 7 "WALKING" "tBodyAcc-mean()-X" 0.275592961754386
"25" 27 "WALKING" "tBodyAcc-mean()-X" 0.276849485438596
"26" 14 "WALKING" "tBodyAcc-mean()-X" 0.271959598644068
"27" 23 "WALKING" "tBodyAcc-mean()-X" 0.273211884237288
"28" 30 "WALKING" "tBodyAcc-mean()-X" 0.276406758
"29" 25 "WALKING" "tBodyAcc-mean()-X" 0.278992759054054
"30" 24 "WALKING" "tBodyAcc-mean()-X" 0.276980816034483
"31" 1 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.255461689622641
"32" 8 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.258880152048781
"33" 15 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270187595833333
"34" 2 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.247164790395833
"35" 17 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.252604768583333
"36" 9 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.262436475714286
"37" 18 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.265401201896552
"38" 16 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.255986102627451
"39" 11 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.263775859277778
"40" 3 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.260819873067797
"41" 12 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.272970338653846
"42" 10 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.267121853404255
"43" 19 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.242118808925
"44" 28 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.262005841764706
"45" 6 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.268229355098039
"46" 4 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.270876696730769
"47" 13 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.258203939581818
"48" 22 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.248391534566667
"49" 20 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.252098317156863
"50" 29 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.265423066877551
"51" 7 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.248706923078431
"52" 5 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.268459469914894
"53" 14 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.26242106612963
"54" 23 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.249995171031373
"55" 21 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.265194544680851
"56" 30 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.271415642261538
"57" 27 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.265770253921569
"58" 25 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.277995411384615
"59" 26 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.272691394545455
"60" 24 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.269881106779661
"61" 10 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.290401594315789
"62" 8 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.283484089210526
"63" 11 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.291605631956522
"64" 9 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.295923445
"65" 4 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.279965329555556
"66" 13 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.294907553404255
"67" 5 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.29354392712766
"68" 14 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.293422115555556
"69" 12 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.281521097391304
"70" 1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.289188320408163
"71" 30 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.283190646967742
"72" 28 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.293642076521739
"73" 6 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.277045258145833
"74" 15 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.280198851190476
